outcome,outcome_order,year,direct_available,spatial_support,n_spatial_units,measurement_basis,source,proxy_available,proxy_spatial_support,proxy_n_spatial_units,proxy_source,proxy_measurement_basis
Erosion control,3,2009,0,,0,model output (RUSLE2 / WEQ on panel points),"NRCS NRI 2022 Summary Report, Tables 15-16",0,,0,,
Nutrient cycling,4,2009,0,,0,no federal series,,0,,0,NASS Census: cropland acres receiving fertilizer,"input applied, not a cycling rate"
Carbon sequestration,5,2009,0,,0,single national campaign (field seasons 2010-2011); satellite-pedon SOC predicted from VNIR spectra,NRCS Rapid Carbon Assessment (RaCA),0,,0,,
Pest regulation,6,2009,0,,0,no federal series,,1,county,3006,USGS PNSP county pesticide use (corrected panel),"modelled chemical pressure, not the regulating service"
Water capture,7,2009,0,,0,no federal series,,0,,0,NASS Census: irrigated harvested cropland,"water applied, not infiltration or storage"
Soil macrofauna,8,2009,0,,0,no federal series,,0,,0,ECOTOX: lab bioassays only,hazard endpoints with no place and no repeat
Yield,1,2010,1,county,2550,survey enumeration (published county estimate),"NASS QuickStats, county crop yield",0,,0,,
Profitability,2,2010,0,,0,census enumeration (net cash farm income),NASS Census of Agriculture,0,,0,,
Erosion control,3,2010,0,,0,model output (RUSLE2 / WEQ on panel points),"NRCS NRI 2022 Summary Report, Tables 15-16",0,,0,,
Nutrient cycling,4,2010,0,,0,no federal series,,0,,0,NASS Census: cropland acres receiving fertilizer,"input applied, not a cycling rate"
Carbon sequestration,5,2010,0,,0,single national campaign (field seasons 2010-2011); satellite-pedon SOC predicted from VNIR spectra,NRCS Rapid Carbon Assessment (RaCA),0,,0,,
Pest regulation,6,2010,0,,0,no federal series,,1,county,3005,USGS PNSP county pesticide use (corrected panel),"modelled chemical pressure, not the regulating service"
Water capture,7,2010,0,,0,no federal series,,0,,0,NASS Census: irrigated harvested cropland,"water applied, not infiltration or storage"
Soil macrofauna,8,2010,0,,0,no federal series,,0,,0,ECOTOX: lab bioassays only,hazard endpoints with no place and no repeat
Yield,1,2011,1,county,2549,survey enumeration (published county estimate),"NASS QuickStats, county crop yield",0,,0,,
Profitability,2,2011,0,,0,census enumeration (net cash farm income),NASS Census of Agriculture,0,,0,,
Erosion control,3,2011,0,,0,model output (RUSLE2 / WEQ on panel points),"NRCS NRI 2022 Summary Report, Tables 15-16",0,,0,,
Nutrient cycling,4,2011,0,,0,no federal series,,0,,0,NASS Census: cropland acres receiving fertilizer,"input applied, not a cycling rate"
Carbon sequestration,5,2011,1,RaCA region,17,single national campaign (field seasons 2010-2011); satellite-pedon SOC predicted from VNIR spectra,NRCS Rapid Carbon Assessment (RaCA),0,,0,,
Pest regulation,6,2011,0,,0,no federal series,,1,county,3006,USGS PNSP county pesticide use (corrected panel),"modelled chemical pressure, not the regulating service"
Water capture,7,2011,0,,0,no federal series,,0,,0,NASS Census: irrigated harvested cropland,"water applied, not infiltration or storage"
Soil macrofauna,8,2011,0,,0,no federal series,,0,,0,ECOTOX: lab bioassays only,hazard endpoints with no place and no repeat
Yield,1,2012,1,county,2538,survey enumeration (published county estimate),"NASS QuickStats, county crop yield",0,,0,,
Profitability,2,2012,1,county,3050,census enumeration (net cash farm income),NASS Census of Agriculture,0,,0,,
Erosion control,3,2012,1,state,50,model output (RUSLE2 / WEQ on panel points),"NRCS NRI 2022 Summary Report, Tables 15-16",0,,0,,
Nutrient cycling,4,2012,0,,0,no federal series,,1,county,3041,NASS Census: cropland acres receiving fertilizer,"input applied, not a cycling rate"
Carbon sequestration,5,2012,0,,0,single national campaign (field seasons 2010-2011); satellite-pedon SOC predicted from VNIR spectra,NRCS Rapid Carbon Assessment (RaCA),0,,0,,
Pest regulation,6,2012,0,,0,no federal series,,1,county,3006,USGS PNSP county pesticide use (corrected panel),"modelled chemical pressure, not the regulating service"
Water capture,7,2012,0,,0,no federal series,,1,county,2092,NASS Census: irrigated harvested cropland,"water applied, not infiltration or storage"
Soil macrofauna,8,2012,0,,0,no federal series,,0,,0,ECOTOX: lab bioassays only,hazard endpoints with no place and no repeat
Yield,1,2013,1,county,2500,survey enumeration (published county estimate),"NASS QuickStats, county crop yield",0,,0,,
Profitability,2,2013,0,,0,census enumeration (net cash farm income),NASS Census of Agriculture,0,,0,,
Erosion control,3,2013,0,,0,model output (RUSLE2 / WEQ on panel points),"NRCS NRI 2022 Summary Report, Tables 15-16",0,,0,,
Nutrient cycling,4,2013,0,,0,no federal series,,0,,0,NASS Census: cropland acres receiving fertilizer,"input applied, not a cycling rate"
Carbon sequestration,5,2013,0,,0,single national campaign (field seasons 2010-2011); satellite-pedon SOC predicted from VNIR spectra,NRCS Rapid Carbon Assessment (RaCA),0,,0,,
Pest regulation,6,2013,0,,0,no federal series,,1,county,3005,USGS PNSP county pesticide use (corrected panel),"modelled chemical pressure, not the regulating service"
Water capture,7,2013,0,,0,no federal series,,0,,0,NASS Census: irrigated harvested cropland,"water applied, not infiltration or storage"
Soil macrofauna,8,2013,0,,0,no federal series,,0,,0,ECOTOX: lab bioassays only,hazard endpoints with no place and no repeat
Yield,1,2014,1,county,2522,survey enumeration (published county estimate),"NASS QuickStats, county crop yield",0,,0,,
Profitability,2,2014,0,,0,census enumeration (net cash farm income),NASS Census of Agriculture,0,,0,,
Erosion control,3,2014,0,,0,model output (RUSLE2 / WEQ on panel points),"NRCS NRI 2022 Summary Report, Tables 15-16",0,,0,,
Nutrient cycling,4,2014,0,,0,no federal series,,0,,0,NASS Census: cropland acres receiving fertilizer,"input applied, not a cycling rate"
Carbon sequestration,5,2014,0,,0,single national campaign (field seasons 2010-2011); satellite-pedon SOC predicted from VNIR spectra,NRCS Rapid Carbon Assessment (RaCA),0,,0,,
Pest regulation,6,2014,0,,0,no federal series,,1,county,3005,USGS PNSP county pesticide use (corrected panel),"modelled chemical pressure, not the regulating service"
Water capture,7,2014,0,,0,no federal series,,0,,0,NASS Census: irrigated harvested cropland,"water applied, not infiltration or storage"
Soil macrofauna,8,2014,0,,0,no federal series,,0,,0,ECOTOX: lab bioassays only,hazard endpoints with no place and no repeat
Yield,1,2015,1,county,2488,survey enumeration (published county estimate),"NASS QuickStats, county crop yield",0,,0,,
Profitability,2,2015,0,,0,census enumeration (net cash farm income),NASS Census of Agriculture,0,,0,,
Erosion control,3,2015,0,,0,model output (RUSLE2 / WEQ on panel points),"NRCS NRI 2022 Summary Report, Tables 15-16",0,,0,,
Nutrient cycling,4,2015,0,,0,no federal series,,0,,0,NASS Census: cropland acres receiving fertilizer,"input applied, not a cycling rate"
Carbon sequestration,5,2015,0,,0,single national campaign (field seasons 2010-2011); satellite-pedon SOC predicted from VNIR spectra,NRCS Rapid Carbon Assessment (RaCA),0,,0,,
Pest regulation,6,2015,0,,0,no federal series,,1,county,3005,USGS PNSP county pesticide use (corrected panel),"modelled chemical pressure, not the regulating service"
Water capture,7,2015,0,,0,no federal series,,0,,0,NASS Census: irrigated harvested cropland,"water applied, not infiltration or storage"
Soil macrofauna,8,2015,0,,0,no federal series,,0,,0,ECOTOX: lab bioassays only,hazard endpoints with no place and no repeat
Yield,1,2016,1,county,2442,survey enumeration (published county estimate),"NASS QuickStats, county crop yield",0,,0,,
Profitability,2,2016,0,,0,census enumeration (net cash farm income),NASS Census of Agriculture,0,,0,,
Erosion control,3,2016,0,,0,model output (RUSLE2 / WEQ on panel points),"NRCS NRI 2022 Summary Report, Tables 15-16",0,,0,,
Nutrient cycling,4,2016,0,,0,no federal series,,0,,0,NASS Census: cropland acres receiving fertilizer,"input applied, not a cycling rate"
Carbon sequestration,5,2016,0,,0,single national campaign (field seasons 2010-2011); satellite-pedon SOC predicted from VNIR spectra,NRCS Rapid Carbon Assessment (RaCA),0,,0,,
Pest regulation,6,2016,0,,0,no federal series,,1,county,3005,USGS PNSP county pesticide use (corrected panel),"modelled chemical pressure, not the regulating service"
Water capture,7,2016,0,,0,no federal series,,0,,0,NASS Census: irrigated harvested cropland,"water applied, not infiltration or storage"
Soil macrofauna,8,2016,0,,0,no federal series,,0,,0,ECOTOX: lab bioassays only,hazard endpoints with no place and no repeat
Yield,1,2017,1,county,2435,survey enumeration (published county estimate),"NASS QuickStats, county crop yield",0,,0,,
Profitability,2,2017,1,county,3043,census enumeration (net cash farm income),NASS Census of Agriculture,0,,0,,
Erosion control,3,2017,1,state,50,model output (RUSLE2 / WEQ on panel points),"NRCS NRI 2022 Summary Report, Tables 15-16",0,,0,,
Nutrient cycling,4,2017,0,,0,no federal series,,1,county,3057,NASS Census: cropland acres receiving fertilizer,"input applied, not a cycling rate"
Carbon sequestration,5,2017,0,,0,single national campaign (field seasons 2010-2011); satellite-pedon SOC predicted from VNIR spectra,NRCS Rapid Carbon Assessment (RaCA),0,,0,,
Pest regulation,6,2017,0,,0,no federal series,,1,county,3005,USGS PNSP county pesticide use (corrected panel),"modelled chemical pressure, not the regulating service"
Water capture,7,2017,0,,0,no federal series,,1,county,2169,NASS Census: irrigated harvested cropland,"water applied, not infiltration or storage"
Soil macrofauna,8,2017,0,,0,no federal series,,0,,0,ECOTOX: lab bioassays only,hazard endpoints with no place and no repeat
Yield,1,2018,1,county,2346,survey enumeration (published county estimate),"NASS QuickStats, county crop yield",0,,0,,
Profitability,2,2018,0,,0,census enumeration (net cash farm income),NASS Census of Agriculture,0,,0,,
Erosion control,3,2018,0,,0,model output (RUSLE2 / WEQ on panel points),"NRCS NRI 2022 Summary Report, Tables 15-16",0,,0,,
Nutrient cycling,4,2018,0,,0,no federal series,,0,,0,NASS Census: cropland acres receiving fertilizer,"input applied, not a cycling rate"
Carbon sequestration,5,2018,0,,0,single national campaign (field seasons 2010-2011); satellite-pedon SOC predicted from VNIR spectra,NRCS Rapid Carbon Assessment (RaCA),0,,0,,
Pest regulation,6,2018,0,,0,no federal series,,1,county,3006,USGS PNSP county pesticide use (corrected panel),"modelled chemical pressure, not the regulating service"
Water capture,7,2018,0,,0,no federal series,,0,,0,NASS Census: irrigated harvested cropland,"water applied, not infiltration or storage"
Soil macrofauna,8,2018,0,,0,no federal series,,0,,0,ECOTOX: lab bioassays only,hazard endpoints with no place and no repeat
Yield,1,2019,1,county,1916,survey enumeration (published county estimate),"NASS QuickStats, county crop yield",0,,0,,
Profitability,2,2019,0,,0,census enumeration (net cash farm income),NASS Census of Agriculture,0,,0,,
Erosion control,3,2019,0,,0,model output (RUSLE2 / WEQ on panel points),"NRCS NRI 2022 Summary Report, Tables 15-16",0,,0,,
Nutrient cycling,4,2019,0,,0,no federal series,,0,,0,NASS Census: cropland acres receiving fertilizer,"input applied, not a cycling rate"
Carbon sequestration,5,2019,0,,0,single national campaign (field seasons 2010-2011); satellite-pedon SOC predicted from VNIR spectra,NRCS Rapid Carbon Assessment (RaCA),0,,0,,
Pest regulation,6,2019,0,,0,no federal series,,0,,0,USGS PNSP county pesticide use (corrected panel),"modelled chemical pressure, not the regulating service"
Water capture,7,2019,0,,0,no federal series,,0,,0,NASS Census: irrigated harvested cropland,"water applied, not infiltration or storage"
Soil macrofauna,8,2019,0,,0,no federal series,,0,,0,ECOTOX: lab bioassays only,hazard endpoints with no place and no repeat
Yield,1,2020,1,county,2123,survey enumeration (published county estimate),"NASS QuickStats, county crop yield",0,,0,,
Profitability,2,2020,0,,0,census enumeration (net cash farm income),NASS Census of Agriculture,0,,0,,
Erosion control,3,2020,0,,0,model output (RUSLE2 / WEQ on panel points),"NRCS NRI 2022 Summary Report, Tables 15-16",0,,0,,
Nutrient cycling,4,2020,0,,0,no federal series,,0,,0,NASS Census: cropland acres receiving fertilizer,"input applied, not a cycling rate"
Carbon sequestration,5,2020,0,,0,single national campaign (field seasons 2010-2011); satellite-pedon SOC predicted from VNIR spectra,NRCS Rapid Carbon Assessment (RaCA),0,,0,,
Pest regulation,6,2020,0,,0,no federal series,,0,,0,USGS PNSP county pesticide use (corrected panel),"modelled chemical pressure, not the regulating service"
Water capture,7,2020,0,,0,no federal series,,0,,0,NASS Census: irrigated harvested cropland,"water applied, not infiltration or storage"
Soil macrofauna,8,2020,0,,0,no federal series,,0,,0,ECOTOX: lab bioassays only,hazard endpoints with no place and no repeat
Yield,1,2021,1,county,2035,survey enumeration (published county estimate),"NASS QuickStats, county crop yield",0,,0,,
Profitability,2,2021,0,,0,census enumeration (net cash farm income),NASS Census of Agriculture,0,,0,,
Erosion control,3,2021,0,,0,model output (RUSLE2 / WEQ on panel points),"NRCS NRI 2022 Summary Report, Tables 15-16",0,,0,,
Nutrient cycling,4,2021,0,,0,no federal series,,0,,0,NASS Census: cropland acres receiving fertilizer,"input applied, not a cycling rate"
Carbon sequestration,5,2021,0,,0,single national campaign (field seasons 2010-2011); satellite-pedon SOC predicted from VNIR spectra,NRCS Rapid Carbon Assessment (RaCA),0,,0,,
Pest regulation,6,2021,0,,0,no federal series,,0,,0,USGS PNSP county pesticide use (corrected panel),"modelled chemical pressure, not the regulating service"
Water capture,7,2021,0,,0,no federal series,,0,,0,NASS Census: irrigated harvested cropland,"water applied, not infiltration or storage"
Soil macrofauna,8,2021,0,,0,no federal series,,0,,0,ECOTOX: lab bioassays only,hazard endpoints with no place and no repeat
Yield,1,2022,1,county,2027,survey enumeration (published county estimate),"NASS QuickStats, county crop yield",0,,0,,
Profitability,2,2022,1,county,3046,census enumeration (net cash farm income),NASS Census of Agriculture,0,,0,,
Erosion control,3,2022,1,state,50,model output (RUSLE2 / WEQ on panel points),"NRCS NRI 2022 Summary Report, Tables 15-16",0,,0,,
Nutrient cycling,4,2022,0,,0,no federal series,,1,county,3050,NASS Census: cropland acres receiving fertilizer,"input applied, not a cycling rate"
Carbon sequestration,5,2022,0,,0,single national campaign (field seasons 2010-2011); satellite-pedon SOC predicted from VNIR spectra,NRCS Rapid Carbon Assessment (RaCA),0,,0,,
Pest regulation,6,2022,0,,0,no federal series,,0,,0,USGS PNSP county pesticide use (corrected panel),"modelled chemical pressure, not the regulating service"
Water capture,7,2022,0,,0,no federal series,,1,county,2188,NASS Census: irrigated harvested cropland,"water applied, not infiltration or storage"
Soil macrofauna,8,2022,0,,0,no federal series,,0,,0,ECOTOX: lab bioassays only,hazard endpoints with no place and no repeat
