section,section_heading,commodity,ppm,expiration_note,row_type
180.275,§ 180.275 Chlorothalonil; tolerances for residues.,"Goat, meat byproducts, except kidney",0.05,,tolerance
180.275,§ 180.275 Chlorothalonil; tolerances for residues.,"Goat, meat",0.03,,tolerance
180.275,§ 180.275 Chlorothalonil; tolerances for residues.,"Hog, fat",0.1,,tolerance
180.275,§ 180.275 Chlorothalonil; tolerances for residues.,"Hog, kidney",0.5,,tolerance
180.275,§ 180.275 Chlorothalonil; tolerances for residues.,"Hog, meat byproducts, except kidney",0.05,,tolerance
180.275,§ 180.275 Chlorothalonil; tolerances for residues.,"Hog, meat",0.03,,tolerance
180.275,§ 180.275 Chlorothalonil; tolerances for residues.,"Horse, fat",0.1,,tolerance
180.275,§ 180.275 Chlorothalonil; tolerances for residues.,"Horse, kidney",0.5,,tolerance
180.275,§ 180.275 Chlorothalonil; tolerances for residues.,"Horse, meat byproducts, except kidney",0.05,,tolerance
180.275,§ 180.275 Chlorothalonil; tolerances for residues.,"Horse, meat",0.03,,tolerance
180.275,§ 180.275 Chlorothalonil; tolerances for residues.,Milk,0.1,,tolerance
180.275,§ 180.275 Chlorothalonil; tolerances for residues.,"Sheep, fat",0.1,,tolerance
180.275,§ 180.275 Chlorothalonil; tolerances for residues.,"Sheep, kidney",0.5,,tolerance
180.275,§ 180.275 Chlorothalonil; tolerances for residues.,"Sheep, meat byproducts, except kidney",0.05,,tolerance
180.275,§ 180.275 Chlorothalonil; tolerances for residues.,"Sheep, meat",0.03,,tolerance
180.275,§ 180.275 Chlorothalonil; tolerances for residues.,Hazelnut,0.1,,tolerance
180.275,§ 180.275 Chlorothalonil; tolerances for residues.,"Peppermint, tops",2,,tolerance
180.275,§ 180.275 Chlorothalonil; tolerances for residues.,Persimmon,1.5,,tolerance
180.275,§ 180.275 Chlorothalonil; tolerances for residues.,"Spearmint, tops",2,,tolerance
180.276,§ 180.276 Formetanate hydrochloride; tolerances for residues.,Apple,0.50,12/31/13,tolerance
180.276,§ 180.276 Formetanate hydrochloride; tolerances for residues.,"Apple, wet pomace",1.5,12/31/13,tolerance
180.276,§ 180.276 Formetanate hydrochloride; tolerances for residues.,Grapefruit,1.5,None,tolerance
180.276,§ 180.276 Formetanate hydrochloride; tolerances for residues.,Lemon,0.60,None,tolerance
180.276,§ 180.276 Formetanate hydrochloride; tolerances for residues.,Lime,0.03,None,tolerance
180.276,§ 180.276 Formetanate hydrochloride; tolerances for residues.,Nectarine,0.40,None,tolerance
180.276,§ 180.276 Formetanate hydrochloride; tolerances for residues.,Orange,1.5,None,tolerance
180.276,§ 180.276 Formetanate hydrochloride; tolerances for residues.,Peach,0.40,12/31/13,tolerance
180.276,§ 180.276 Formetanate hydrochloride; tolerances for residues.,Pear,0.50,12/31/13,tolerance
180.276,§ 180.276 Formetanate hydrochloride; tolerances for residues.,Tangelo,0.03,None,tolerance
180.276,§ 180.276 Formetanate hydrochloride; tolerances for residues.,Tangerine,0.03,None,tolerance
180.278,§ 180.278 Phenmedipham; tolerances for residues.,"Beet, garden, roots",0.2,,tolerance
180.278,§ 180.278 Phenmedipham; tolerances for residues.,"Beet, garden, tops",0.2,,tolerance
180.278,§ 180.278 Phenmedipham; tolerances for residues.,"Beet, sugar, dried pulp",0.5,,tolerance
180.278,§ 180.278 Phenmedipham; tolerances for residues.,"Beet, sugar, molasses",0.2,,tolerance
180.278,§ 180.278 Phenmedipham; tolerances for residues.,"Beet, sugar, roots",0.1,,tolerance
180.278,§ 180.278 Phenmedipham; tolerances for residues.,"Beet, sugar, tops",0.1,,tolerance
180.278,§ 180.278 Phenmedipham; tolerances for residues.,Spinach,4.0,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,"Alfalfa, forage",0.2,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,"Alfalfa, hay",0.2,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,"Barley, grain",0.05,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,"Barley, hay",0.2,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,"Barley, straw",0.2,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,"Bean, dry, seed",0.05,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,"Beet, sugar, roots",0.05,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,"Beet, sugar, tops",0.2,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,Grape,0.01,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,"Grass, rangeland, forage",0.1,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,"Grass, rangeland, hay",0.1,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,Potato,0.05,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,"Sugarcane, cane",0.01,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,"Timothy, hay",0.5,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,"Timothy, forage",0.5,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,"Wheat, forage",0.05,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,"Wheat, grain",0.05,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,"Wheat, hay",0.05,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,"Wheat, straw",0.05,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,"Artichoke, globe",0.01,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,"Beet, sugar, roots",0.04,,tolerance
180.284,§ 180.284 Zinc phosphide; tolerances for residues.,"Beet, sugar, tops",0.02,,tolerance
180.287,§ 180.287 Amitraz; tolerances for residues.,"Cattle, fat",0.1,,tolerance
180.287,§ 180.287 Amitraz; tolerances for residues.,"Cattle, meat",0.02,,tolerance
180.287,§ 180.287 Amitraz; tolerances for residues.,"Cattle, meat byproducts",0.2,,tolerance
180.287,§ 180.287 Amitraz; tolerances for residues.,"Hog, fat",0.1,,tolerance
180.287,§ 180.287 Amitraz; tolerances for residues.,"Hog, kidney",0.1,,tolerance
180.287,§ 180.287 Amitraz; tolerances for residues.,"Hog, liver",0.1,,tolerance
180.287,§ 180.287 Amitraz; tolerances for residues.,"Hog, meat",0.05,,tolerance
180.287,§ 180.287 Amitraz; tolerances for residues.,"Hog, meat byproducts",0.3,,tolerance
180.287,§ 180.287 Amitraz; tolerances for residues.,Honey,0.2,,tolerance
180.287,§ 180.287 Amitraz; tolerances for residues.,Honeycomb,9,,tolerance
180.287,§ 180.287 Amitraz; tolerances for residues.,Milk,0.03,,tolerance
180.287,§ 180.287 Amitraz; tolerances for residues.,"Milk, fat",0.2,,tolerance
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Barley, grain",0.1(N),,other
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Barley, straw",0.1(N),,other
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Beet, sugar, roots",0.1(N),,other
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Beet, sugar, tops",0.1(N),,other
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Corn, field, forage",0.1(N),,other
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Corn, field, grain",0.1,,tolerance
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Corn, field, stover",0.1,,tolerance
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Corn, pop, grain",0.1,,tolerance
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Corn, pop, stover",0.1,,tolerance
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Cotton, forage",0.1(N),,other
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Cotton, undelinted seed",0.1(N),,other
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Oat, forage",0.1(N),,other
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Oat, grain",0.1(N),,other
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Oat, hay",0.1(N),,other
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Oat, straw",0.1(N),,other
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Rice, grain",0.1(N),,other
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Safflower, seed",0.1(N),,other
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Sorghum, grain, forage",0.1(N),,other
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Sorghum, grain, grain",0.1(N),,other
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Sorghum, grain, stover",0.1(N),,other
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Wheat, forage",0.1(N),,other
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Wheat, grain",0.1(N),,other
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Wheat, hay",0.1(N),,other
180.288,§ 180.288 2-(Thiocyanomethylthio)benzothiazole; tolerances for residues.,"Wheat, straw",0.1(N),,other
180.289,§ 180.289 Methanearsonic acid; tolerances for residues.,"Cotton, undelinted seed",0.7,None,tolerance
180.289,§ 180.289 Methanearsonic acid; tolerances for residues.,"Cotton, hulls",0.9,None,tolerance
180.289,§ 180.289 Methanearsonic acid; tolerances for residues.,"Fruit, citrus",0.35,12/31/12,tolerance
180.291,§ 180.291 Pentachloronitrobenzene; tolerance for residues.,Bean,0.1,,tolerance
180.291,§ 180.291 Pentachloronitrobenzene; tolerance for residues.,"Brassica, head and stem, subgroup 5A",0.1,,tolerance
180.291,§ 180.291 Pentachloronitrobenzene; tolerance for residues.,"Cotton, undelinted seed",0.1,,tolerance
180.291,§ 180.291 Pentachloronitrobenzene; tolerance for residues.,"Garlic, bulb",0.1,,tolerance
180.291,§ 180.291 Pentachloronitrobenzene; tolerance for residues.,Peanut,1.0,,tolerance
180.291,§ 180.291 Pentachloronitrobenzene; tolerance for residues.,Potato,0.1,,tolerance
180.291,§ 180.291 Pentachloronitrobenzene; tolerance for residues.,"Soybean, forage",0.02,,tolerance
180.291,§ 180.291 Pentachloronitrobenzene; tolerance for residues.,"Soybean, hay",0.02,,tolerance
180.291,§ 180.291 Pentachloronitrobenzene; tolerance for residues.,"Soybean, seed",0.02,,tolerance
180.291,§ 180.291 Pentachloronitrobenzene; tolerance for residues.,"Vegetable, fruiting, group 8",0.1,,tolerance
180.291,§ 180.291 Pentachloronitrobenzene; tolerance for residues.,Collards,0.2,,tolerance
180.291,§ 180.291 Pentachloronitrobenzene; tolerance for residues.,Kale,0.2,,tolerance
180.291,§ 180.291 Pentachloronitrobenzene; tolerance for residues.,"Mustard, greens",0.2,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Barley, grain",0.5,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Barley, pearled barley",3.0,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Barley, straw",1.0,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Cattle, fat",0.4,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Cattle, meat",0.4,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Cattle, meat byproducts",15,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,Egg,0.05,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Goat, fat",0.4,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Goat, meat",0.4,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Goat, meat byproducts",15,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Grain, aspirated fractions",4.0,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Grass, forage",400,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Grass, hay",225,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Hog, fat",0.05,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Hog, meat",0.05,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Hog, meat byproducts",0.05,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Horse, fat",0.4,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Horse, meat",0.4,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Horse, meat byproducts",15,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,Milk,0.25,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Oat, forage",1.0,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Oat, grain",0.5,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Oat, groats/rolled oats",3.0,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Oat, straw",1.0,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Poultry, fat",0.05,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Poultry, meat",0.05,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Poultry, meat byproducts",0.05,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Sheep, fat",0.4,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Sheep, meat",0.4,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Sheep, meat byproducts",15,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Wheat, bran",3.0,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Wheat, forage",1.0,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Wheat, germ",3.0,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Wheat, grain",0.5,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Wheat, middlings",3.0,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Wheat, shorts",3.0,,tolerance
180.292,§ 180.292 Picloram; tolerances for residues.,"Wheat, straw",1.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,Apple,0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Apple, wet pomace",0.15,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Cotton, undelinted seed",0.1,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,Fish,0.1,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Hop, dried cones",0.1,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,Potato,0.1,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Rice, grain",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Almond, hulls",15.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Animal feed, nongrass, group 18, forage",4.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Animal feed, nongrass, group 18, hay",10,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Apple, wet pomace",0.15,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Beet, sugar, molasses",1.5,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Brassica, head and stem subgroup 5A",0.1,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Brassica, leafy, subgroup 5B",2.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,Bushberry subgroup 13-07B,0.6,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,Caneberry subgroup 13-07A,0.6,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Cattle, fat",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Cattle, kidney",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Cattle, kidney 1",0.20,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Cattle, liver 1",0.10,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Cattle, liver",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Cattle, meat",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Corn, field, grain",0.07,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Corn, pop, grain",0.07,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Corn, sweet, kernel plus cob with husks removed",0.3,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Citrus, dried pulp",0.1,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,Egg,0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,Feed commodities not otherwise listed,10.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,Food commodities not otherwise listed,5.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Fruit, citrus group 10",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Fruit, pome, group 11",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Fruit, stone, group 12",0.3,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Goat, fat",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Goat, kidney 1",0.15,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Goat, kidney",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Goat, liver",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Goat, meat",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Grain, aspirated fractions",35.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Grain cereal, forage, fodder and straw, group 16",10.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Grain, cereal, group 15, except corn",4.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,Grape,1.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Grape, raisin",5.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Grass, forage, fodder, and hay group 17, forage",3.5,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Grass, forage, fodder, and hay group 17, hay",18.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Herb and spice, group 19",5.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Hog, fat",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Hog, kidney 1",0.10,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Hog, kidney",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Hog, liver",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Hog, meat",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,Milk 1,0.03,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,Milk,0.01,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Nut, tree, group 14",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,Okra,0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Pea and bean, dried shelled, subgroup 6C",0.2,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Pea and bean, succulent shelled, subgroup 6B",2.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Peppermint, tops",5.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,Pistachio,0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Poultry, fat",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Poultry, liver",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Poultry, meat",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Poultry, meat byproducts 1",0.20,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Poultry, meat byproducts",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Rice, hulls",8.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Sheep, fat",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Sheep, kidney 1",0.15,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Sheep, kidney",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Sheep, liver",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Sheep, meat",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Soybean, hulls",0.5,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Soybean, seed",0.2,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Spearmint, tops",5.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Tomato, paste",0.1,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Tomato, puree",0.1,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Vegetable, bulb, group 3-07",0.5,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Vegetable, cucurbit, group 9",1.5,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Vegetable, foliage of legume, group 7",4.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Vegetable, fruiting, group 8",0.05,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Vegetable, leafy, except brassica, group 4",2.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Vegetable, leaves of root and tuber, group 2",3.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Vegetable, legume, edible, podded, subgroup 6A",2.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Vegetable, root and tuber, group 1",1.0,,tolerance
180.293,§ 180.293 Endothall; tolerances for residues.,"Wheat, milled byproducts",5.0,,tolerance
180.297,§ 180.297 N-1-Naphthyl phthalamic acid; tolerances for residues.,Cantaloupe,0.1(N),,other
180.297,§ 180.297 N-1-Naphthyl phthalamic acid; tolerances for residues.,Cucumber,0.1(N),,other
180.297,§ 180.297 N-1-Naphthyl phthalamic acid; tolerances for residues.,Muskmelon,0.1(N),,other
180.297,§ 180.297 N-1-Naphthyl phthalamic acid; tolerances for residues.,Watermelon,0.1(N),,other
180.299,§ 180.299 Dicrotophos; tolerances for residues.,"Cotton, gin byproducts",2.0,,tolerance
180.299,§ 180.299 Dicrotophos; tolerances for residues.,"Cotton, undelinted seed",0.2,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,Apple,5.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Apple, juice",10.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Barley, bran",5.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Barley, grain",2.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Barley, straw",10.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,Blackberry,30.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,Blueberry,20.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,Cantaloupe,2.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Cattle, fat",0.02,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Cattle, kidney",1.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Cattle, meat",0.02,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Cattle, meat byproducts, except kidney",0.2,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,Cherry,10.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Coffee, bean, green",0.5,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Cotton, gin byproducts",180.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Cotton, undelinted seed",6.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,Egg,0.002,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Goat, fat",0.02,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Goat, kidney",1.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Goat, meat",0.02,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Goat, meat byproducts, except kidney",0.2,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,Grape,2.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Grape, raisin",12.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,Hazelnut,0.80,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Hog, fat",0.02,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Hog, kidney",1.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Hog, meat",0.02,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Hog, meat byproducts, except kidney",0.2,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Horse, fat",0.02,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Horse, kidney",1.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Horse, meat",0.02,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Horse, meat byproducts, except kidney",0.2,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,Milk,0.01,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Nut, macadamia",0.5,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,Pepper,30.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,Pineapple,2.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Poultry, fat",0.02,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Poultry, liver",0.05,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Poultry, meat",0.01,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Poultry, meat byproducts, except liver",0.01,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Sheep, fat",0.02,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Sheep, kidney",1.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Sheep, meat",0.02,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Sheep, meat byproducts, except kidney",0.2,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Sugarcane, molasses",1.5,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,Tomato,2.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,Walnut,0.5,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Wheat, bran",5.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Wheat, germ",5.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Wheat, grain",2.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Wheat, middlings",5.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Wheat, shorts",5.0,,tolerance
180.300,§ 180.300 Ethephon; tolerances for residues.,"Wheat, straw",10.0,,tolerance
